CSP,Leg 1,Leg 2,Leg 3,Leg 4,Leg 5
AWS,23.331,44.496,714.2460000000001,83.93,72.32
AWS,18.441,60.828,712.299,100.86,86.525
AWS,26.833,42.696999999999996,685.331,79.601,103.72099999999999
AWS,20.302,42.506,690.323,76.67699999999999,80.046
AWS,32.861000000000004,189.79299999999998,694.3000000000001,68.90400000000001,525.316
AWS,19.734,49.764,677.3979999999999,97.768,93.82799999999999
AWS,20.89,45.156,697.063,83.728,91.86
AWS,24.580000000000002,104.384,703.569,108.511,89.352
AWS,29.36,44.5,694.704,83.479,85.297
AWS,24.595,43.558,687.5400000000001,86.017,91.20100000000001
AWS,27.18,45.019999999999996,679.3019999999999,90.891,210.41899999999998
AWS,20.284,87.669,706.1619999999999,119.514,515.2489999999999
AWS,19.718,59.61000000000001,706.211,89.239,99.87899999999999
AWS,19.644,46.959,710.89,72.198,75.685
AWS,21.455,48.439,704.062,90.85799999999999,126.689
AWS,24.18,44.248999999999995,686.8570000000001,106.87,81.235
AWS,32.664,40.618,682.3939999999999,88.81899999999999,88.02300000000001
AWS,21.22,46.294000000000004,782.124,80.656,80.26700000000001
AWS,20.635,50.556999999999995,698.6830000000001,78.959,78.26700000000001
AWS,18.229,58.964000000000006,711.905,94.432,75.679
AWS,20.883,73.828,692.7560000000001,84.255,85.963
AWS,19.912,42.058,682.745,80.065,85.15599999999999
AWS,19.033,43.172000000000004,702.703,100.31700000000001,83.648
AWS,21.547,103.699,677.0730000000001,133.887,93.769
AWS,28.330000000000002,47.448,705.589,80.201,97.535
AWS,20.875,43.11,695.6940000000001,84.443,83.033
AWS,26.012,42.132000000000005,695.476,84.607,209.457
AWS,21.198999999999998,47.231,688.176,141.766,92.849
AWS,19.599999999999998,42.574,705.7520000000001,97.56700000000001,89.741
AWS,20.917,51.213,691.11,79.384,104.936
AWS,22.958,46.061,776.463,82.576,72.13300000000001
AWS,17.647,48.069,710.736,152.522,127.504
AWS,23.608,43.933,679.8340000000001,83.183,87.335
AWS,31.537999999999997,85.866,689.2570000000001,571.044,83.715
AWS,21.224,44.191,687.153,90.06,114.208
AWS,21.246000000000002,56.932,798.759,81.003,84.878
AWS,21.905,43.63,689.0169999999999,83.251,78.91
